대분류(24),중분류(81),소분류(279),"세분류(1,114)",직업명
사업관리,사업관리,프로젝트관리,공적개발원조사업관리,정부·공공행정 전문가
사업관리,사업관리,프로젝트관리,공적개발원조사업관리,국가·지방행정 사무원
사업관리,사업관리,프로젝트관리,공적개발원조사업관리,공공행정 사무원
사업관리,사업관리,프로젝트관리,프로젝트관리,기획·마케팅 사무원
사업관리,사업관리,프로젝트관리,산학협력관리,총무 사무원 및 대학 행정조교
사업관리,사업관리,해외관리,해외법인설립관리,기획·마케팅 사무원
사업관리,사업관리,해외관리,해외취업관리,직업상담사
경영·회계·사무,기획사무,경영기획,경영기획,정부·공공행정 전문가
경영·회계·사무,기획사무,경영기획,경영기획,경영·진단 전문가
경영·회계·사무,기획사무,경영기획,경영기획,국가·지방행정 사무원
경영·회계·사무,기획사무,경영기획,경영기획,공공행정 사무원
경영·회계·사무,기획사무,경영기획,경영기획,기획·마케팅 사무원
경영·회계·사무,기획사무,경영기획,경영평가,경영·진단 전문가
경영·회계·사무,기획사무,경영기획,경영평가,기획·마케팅 사무원
경영·회계·사무,기획사무,홍보·광고,PR,광고·홍보 전문가
경영·회계·사무,기획사무,홍보·광고,PR,기획·마케팅 사무원
경영·회계·사무,기획사무,홍보·광고,광고,광고·홍보 전문가
경영·회계·사무,기획사무,홍보·광고,광고,기획·마케팅 사무원
경영·회계·사무,기획사무,마케팅,마케팅전략기획,경영·진단 전문가
경영·회계·사무,기획사무,마케팅,마케팅전략기획,광고·홍보 전문가
경영·회계·사무,기획사무,마케팅,마케팅전략기획,기획·마케팅 사무원
경영·회계·사무,기획사무,마케팅,고객관리,상품 기획자
경영·회계·사무,기획사무,마케팅,고객관리,기획·마케팅 사무원
경영·회계·사무,기획사무,마케팅,고객관리,고객 상담원 및 모니터 요원
경영·회계·사무,기획사무,마케팅,통계조사,조사 전문가
경영·회계·사무,기획사무,마케팅,통계조사,통계 사무원
경영·회계·사무,기획사무,마케팅,유통관리,기획·마케팅 사무원
경영·회계·사무,기획사무,마케팅,유통관리,자재·구매·물류 사무원
경영·회계·사무,총무·인사,총무,총무,정부·공공행정 전문가
경영·회계·사무,총무·인사,총무,총무,국가·지방행정 사무원
경영·회계·사무,총무·인사,총무,총무,공공행정 사무원
경영·회계·사무,총무·인사,총무,총무,총무 사무원 및 대학 행정조교
경영·회계·사무,총무·인사,총무,자산관리,총무 사무원 및 대학 행정조교
경영·회계·사무,총무·인사,총무,비상기획,총무 사무원 및 대학 행정조교
경영·회계·사무,총무·인사,인사·조직,인사,인사·노무 전문가
경영·회계·사무,총무·인사,인사·조직,인사,인사·교육·훈련 사무원
경영·회계·사무,총무·인사,인사·조직,노무관리,인사·노무 전문가
경영·회계·사무,총무·인사,인사·조직,노무관리,인사·교육·훈련 사무원
경영·회계·사무,총무·인사,일반사무,비서,비서
경영·회계·사무,총무·인사,일반사무,사무행정,정부·공공행정 전문가
경영·회계·사무,총무·인사,일반사무,사무행정,국가·지방행정 사무원
경영·회계·사무,총무·인사,일반사무,사무행정,공공행정 사무원
경영·회계·사무,총무·인사,일반사무,사무행정,총무 사무원 및 대학 행정조교
경영·회계·사무,총무·인사,일반사무,사무행정,전산자료 입력원 및 사무 보조원
경영·회계·사무,재무·회계,재무,예산,총무 사무원 및 대학 행정조교
경영·회계·사무,재무·회계,재무,예산,회계 사무원
경영·회계·사무,재무·회계,재무,예산,경리 사무원
경영·회계·사무,재무·회계,재무,자금,총무 사무원 및 대학 행정조교
경영·회계·사무,재무·회계,재무,자금,회계 사무원
경영·회계·사무,재무·회계,재무,자금,경리 사무원
경영·회계·사무,재무·회계,회계,회계·감사,회계사
경영·회계·사무,재무·회계,회계,회계·감사,세무사
경영·회계·사무,재무·회계,회계,회계·감사,감사 사무원
경영·회계·사무,재무·회계,회계,회계·감사,회계 사무원
경영·회계·사무,재무·회계,회계,세무,회계사
경영·회계·사무,재무·회계,회계,세무,세무사
경영·회계·사무,재무·회계,회계,세무,관세사
경영·회계·사무,재무·회계,회계,세무,조세행정 사무원
경영·회계·사무,재무·회계,회계,세무,관세행정 사무원
경영·회계·사무,재무·회계,회계,세무,회계 사무원
경영·회계·사무,생산·품질관리,생산관리,구매조달,총무 사무원 및 대학 행정조교
경영·회계·사무,생산·품질관리,생산관리,구매조달,자재·구매·물류 사무원
경영·회계·사무,생산·품질관리,생산관리,자재관리,자재·구매·물류 사무원
경영·회계·사무,생산·품질관리,생산관리,공정관리,생산·품질 사무원
